[0;34mType_of_place               Name_of_place[0m
Temple                      Murdeshwar
tourist_place               Kundadri
beach                       Malpe
restaurant                  pai tiffins
Temple                      Udupi Krishna math
tourist_place               Yana
beach                       Padubidri
restaurant                  KMC Food court
Temple                      Dharmasthala
beach                       Kapu
tourist_place               Jog Falls
restaurant                  Rajasthani_Ghar
